IMG1.jpg,31.69277,118.56018,61
IMG2.jpg,31.69267,118.55965,72
IMG3.jpg,31.69263,118.55915,83
IMG4.jpg,31.69261,118.55857,94
IMG5.jpg,31.69251,118.55802,101
IMG6.jpg,31.69217,118.55761,106
IMG7.jpg,31.69169,118.55745,110
IMG8.jpg,31.69125,118.55764,112
IMG9.jpg,31.69100,118.55811,114
IMG10.jpg,31.69101,118.55871,114
IMG11.jpg,31.69113,118.55922,115
IMG12.jpg,31.69123,118.55978,117
IMG13.jpg,31.69127,118.56034,124
IMG14.jpg,31.69123,118.56094,135
IMG15.jpg,31.69118,118.56152,146
IMG16.jpg,31.69117,118.56211,154
IMG17.jpg,31.69108,118.56231,157
IMG18.jpg,31.69139,118.56171,51
